STT,T1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT,TBM1,TBM2,TBM3,XL1,XL2,XL3,US_TMN1,US_TMN2,US_TMN3,KQXT
67,5.1,3.7,4.7,5.5,5.1,4.5,5.8,2.8,5.3,4.2,5.1,6.5,5.6,7.1,6.4,4.1,4.7,5.2,4.3,5.0,5.4,5.0,5.9,3.6,5.6,4.6,4.2,5.3,5.2,6.1,6.0,4.3,6.2,5.4,5.0,4.9,4.7,4.6,6.3,4.5,5.9,6.9,6.4,4.6,5.8,6.3,6.1,4.6,M,0.0,2NT,4.0,4.5,3.25,A,4.739999999999999,5.52,4.92,Y,TB,Y,1.8959999999999997,2.2079999999999997,1.968,0.0
68,4.6,4.9,5.3,5.7,4.5,5.0,7.3,2.8,7.2,6.5,4.9,6.3,4.0,6.5,7.5,3.8,7.6,4.9,5.1,5.1,4.6,5.3,6.7,4.1,6.2,5.8,6.7,6.9,5.7,5.8,7.1,4.2,8.0,4.3,7.7,7.4,4.7,4.5,6.6,5.3,7.2,5.0,8.0,6.3,5.5,5.7,5.8,4.6,M,0.0,1,4.5,4.5,5.5,B,4.919999999999999,5.789999999999999,5.5600000000000005,Y,TB,TB,1.9679999999999995,2.316,2.224,0.0
69,7.3,6.4,6.9,7.5,6.2,8.4,7.6,8.1,8.1,7.0,7.1,8.3,6.8,6.9,9.2,8.7,8.2,6.8,7.7,8.6,7.3,8.3,7.8,8.2,7.9,7.7,7.1,9.2,7.6,7.8,8.4,7.8,8.4,8.4,7.3,7.5,7.2,7.7,7.6,8.6,8.1,8.0,8.1,7.1,8.0,8.8,7.9,7.9,M,0.0,1,3.75,6.0,4.5,B,7.1899999999999995,7.7,7.840000000000001,K,K,K,2.876,3.08,3.136,1.0
70,6.0,5.9,6.0,5.3,4.8,7.1,5.8,5.2,6.2,5.6,7.7,7.2,5.5,5.9,6.6,7.3,5.1,4.4,5.4,6.9,4.8,4.0,4.5,4.8,5.1,4.2,5.3,5.2,6.0,5.4,6.5,5.3,3.5,3.3,4.8,4.3,4.8,5.9,4.6,4.0,5.6,7.3,5.0,6.2,5.4,6.7,4.4,4.9,M,0.0,1,2.25,3.75,6.25,B,5.6899999999999995,6.369999999999999,4.9799999999999995,TB,TB,Y,2.276,2.5479999999999996,1.9919999999999998,0.0
71,5.8,6.3,6.0,6.5,6.7,7.6,6.7,5.9,7.6,7.5,5.6,8.1,6.3,6.3,7.1,7.1,6.6,6.7,4.0,7.3,6.1,5.2,7.8,6.0,5.3,7.8,6.6,7.1,6.8,6.8,6.8,6.3,6.5,7.0,6.9,5.7,7.0,6.6,6.6,5.7,8.2,7.4,6.0,7.6,7.3,7.3,7.8,6.8,F,0.0,2,2.25,4.5,7.25,A,6.4,6.95,6.24,TB,K,TB,2.56,2.7800000000000002,2.496,0.0
72,3.0,5.1,3.0,6.4,4.3,4.8,2.0,4.5,4.8,4.1,3.5,6.2,6.7,5.4,6.7,4.1,4.7,4.7,6.2,6.1,6.6,6.6,4.6,4.6,5.0,5.1,5.6,6.2,6.4,7.1,7.3,4.6,6.8,4.9,6.1,4.7,5.5,5.9,6.5,4.6,9.0,5.7,6.0,6.1,6.2,8.1,5.8,5.1,F,0.0,1,3.5,4.75,3.5,B,4.04,5.3,5.54,Y,TB,TB,1.616,2.12,2.216,0.0
73,5.5,6.6,7.2,7.6,5.5,6.7,6.7,5.2,6.0,6.8,6.3,7.2,4.9,4.8,6.6,5.3,4.6,5.5,5.5,7.1,5.2,6.1,7.1,5.4,5.2,4.7,5.8,6.3,5.7,5.6,5.2,5.3,5.2,5.5,6.3,6.6,6.1,6.5,5.3,5.2,6.1,6.2,7.3,7.8,5.5,5.9,6.3,5.5,M,0.0,1,1.5,4.5,5.5,A,6.200000000000001,5.880000000000001,5.63,TB,TB,TB,2.4800000000000004,2.3520000000000003,2.252,0.0
74,5.2,3.1,4.7,5.8,6.1,3.1,4.8,4.4,5.5,5.9,5.7,6.3,5.5,4.8,6.1,5.1,4.7,6.3,5.0,6.1,5.9,5.8,6.1,5.8,4.3,5.9,5.5,7.0,6.7,4.7,6.1,6.2,4.7,6.0,5.5,4.7,5.8,2.9,5.4,5.1,5.7,5.4,5.7,4.7,5.7,5.3,5.3,4.8,F,0.0,1,2.0,4.5,3.75,A,4.85,5.59,5.629999999999999,Y,TB,TB,1.94,2.2359999999999998,2.252,0.0
75,4.2,5.6,5.0,8.4,6.3,8.2,6.9,3.9,5.5,6.8,7.7,6.9,6.8,8.0,6.4,5.1,5.1,6.3,6.1,7.8,6.1,6.4,6.9,4.4,6.4,8.1,7.8,8.0,6.2,8.1,8.3,5.5,8.0,6.4,6.1,6.2,6.0,6.3,5.9,5.5,8.5,6.3,5.7,7.2,7.1,6.9,7.3,5.5,F,0.0,1,5.25,3.5,4.5,A,5.9,6.55,6.029999999999999,TB,K,TB,2.3600000000000003,2.62,2.412,0.0
76,5.5,4.0,4.3,5.6,3.3,5.9,2.8,3.4,6.0,4.3,3.2,4.5,3.7,4.9,4.7,3.2,2.9,2.8,3.5,4.1,4.1,3.5,5.1,4.8,4.2,3.6,3.5,6.3,5.2,6.6,5.4,4.6,5.5,5.0,3.9,5.1,4.2,5.4,4.9,3.7,4.0,4.4,4.7,6.1,4.1,7.6,5.4,3.5,M,0.0,1,4.75,3.5,3.25,A,4.359999999999999,4.42,3.78,Y,Y,Y,1.7439999999999998,1.768,1.512,0.0
77,5.4,6.8,7.1,7.2,5.6,6.8,6.7,5.3,6.0,6.2,5.9,7.1,6.3,7.8,7.9,6.0,6.9,5.8,5.4,6.3,4.8,7.3,6.4,4.4,6.9,6.6,6.9,8.8,6.9,7.4,8.4,6.0,6.7,7.4,6.8,6.6,5.3,7.0,6.3,5.1,7.5,8.0,6.7,7.0,5.8,7.1,7.9,4.7,F,0.0,2NT,3.25,4.0,3.5,A,6.1899999999999995,6.55,5.8999999999999995,TB,K,TB,2.476,2.62,2.36,0.0
78,5.2,3.6,3.8,7.1,5.3,4.8,6.4,4.5,6.8,5.5,5.3,6.4,5.3,6.7,6.8,6.2,6.5,4.7,5.3,6.4,4.7,6.2,6.3,3.6,5.8,2.7,6.6,4.0,5.1,5.9,8.0,3.5,6.4,6.4,5.7,5.8,4.3,5.2,4.6,5.4,7.8,6.2,7.1,6.5,5.3,6.4,5.7,6.6,M,0.0,1,3.25,4.0,4.0,B,5.119999999999999,6.110000000000001,5.49,TB,TB,TB,2.0479999999999996,2.4440000000000004,2.196,0.0
79,5.3,4.3,5.9,7.7,6.8,6.9,7.0,5.6,5.2,5.0,6.4,6.1,5.8,7.6,6.1,3.9,5.0,5.5,4.4,7.6,6.1,6.0,6.0,4.9,3.5,5.2,5.4,6.9,6.2,5.2,5.7,4.5,5.2,5.7,4.7,4.9,5.0,5.2,5.6,7.6,5.2,5.5,5.4,5.6,4.7,4.5,5.6,6.0,M,0.0,1,3.5,4.5,4.25,B,6.159999999999999,5.71,5.66,TB,TB,TB,2.4639999999999995,2.284,2.2640000000000002,0.0
80,4.8,3.9,5.5,4.9,5.6,4.1,5.8,5.1,5.1,4.0,4.5,5.6,5.6,5.9,7.2,4.4,5.7,4.9,5.0,4.6,5.0,4.8,7.0,4.1,5.0,5.3,5.1,6.3,5.8,6.8,5.6,4.7,6.7,4.8,5.0,5.5,5.8,4.4,4.6,4.1,6.6,6.6,5.9,6.9,7.2,3.8,5.1,4.9,F,0.0,2NT,2.0,3.5,5.5,A1,5.01,5.3,5.18,TB,TB,TB,2.004,2.12,2.072,0.0
81,8.2,6.5,5.1,6.1,6.6,8.7,7.1,6.8,9.2,6.9,5.9,7.3,6.2,8.5,6.7,6.9,9.3,6.8,6.2,6.9,6.3,6.6,7.5,5.7,8.1,7.0,6.0,6.1,7.1,7.5,7.6,6.8,8.7,7.0,7.3,5.9,6.7,4.9,5.0,5.0,9.3,7.1,6.6,8.1,7.7,6.6,7.3,5.3,F,0.0,2NT,4.5,3.5,4.75,A,6.99,7.3,7.090000000000001,K,K,K,2.7960000000000003,2.92,2.8360000000000003,0.0
82,5.7,5.0,4.7,5.7,4.7,5.5,5.2,4.2,3.9,5.9,4.7,5.3,4.8,6.0,4.6,4.7,5.7,5.9,4.5,5.9,4.8,3.7,6.3,5.2,4.6,4.4,4.7,6.1,5.0,5.3,4.9,5.4,6.8,6.1,4.6,5.8,5.3,5.1,4.8,5.0,7.3,7.5,5.0,6.4,6.2,5.4,5.4,6.5,M,0.0,1,2.5,4.5,4.25,A,5.11,4.86,5.250000000000001,TB,Y,TB,2.044,1.9440000000000002,2.1000000000000005,0.0
83,5.1,5.9,5.9,4.5,6.2,5.3,6.5,4.7,5.0,6.1,6.9,9.5,6.8,7.0,7.1,4.8,7.4,6.7,7.1,8.1,6.5,8.1,7.6,5.4,6.0,8.1,6.1,8.5,6.7,7.0,8.1,5.3,6.8,5.9,7.5,6.3,7.1,6.1,6.8,6.1,7.3,5.4,7.8,7.5,7.4,7.3,7.5,6.3,F,0.0,1,3.25,6.0,4.25,B,5.54,6.5,7.080000000000001,TB,K,K,2.216,2.6,2.8320000000000003,0.0
84,5.9,5.7,7.1,6.7,6.5,8.0,8.1,4.3,7.4,7.1,5.6,7.6,7.2,9.3,7.2,5.1,5.5,6.4,6.9,6.9,6.9,9.8,6.2,6.4,7.0,6.9,6.5,7.8,7.1,9.2,7.9,6.1,5.5,6.3,7.1,7.6,6.2,7.8,7.5,6.5,8.2,7.5,7.2,7.3,6.8,9.6,7.3,5.8,F,0.0,1,1.75,4.75,6.0,B,6.470000000000001,7.109999999999999,6.74,TB,K,K,2.588,2.844,2.696,0.0
85,8.4,7.4,6.0,7.8,6.3,7.2,8.5,6.0,9.3,7.0,8.5,8.8,6.9,6.9,7.3,6.8,7.4,7.0,8.0,7.5,7.1,6.7,8.4,5.8,7.7,6.7,8.2,7.5,7.5,6.1,8.1,6.5,8.2,5.9,7.9,8.6,6.1,5.1,7.2,6.1,8.6,7.8,8.9,8.5,6.7,5.5,7.9,6.6,M,0.0,1,6.5,4.5,8.0,A,7.230000000000001,7.7700000000000005,7.24,K,K,K,2.8920000000000003,3.108,2.896,1.0
86,7.2,6.6,6.8,6.7,7.1,6.4,7.2,6.0,7.9,8.1,6.6,7.5,7.8,7.4,7.6,7.1,7.3,6.8,5.7,7.6,6.6,8.4,7.4,5.1,8.4,8.1,6.4,8.8,6.3,8.3,7.7,6.5,7.8,7.1,8.5,6.5,7.3,7.0,7.8,5.2,6.9,6.9,7.1,7.3,7.0,8.1,6.4,6.0,F,0.0,2NT,3.75,5.75,4.75,B,6.830000000000001,7.5699999999999985,6.879999999999998,K,K,K,2.732,3.0279999999999996,2.7519999999999993,1.0
87,6.3,6.5,8.1,7.7,6.7,5.4,7.0,5.4,6.3,6.7,6.9,7.4,6.6,5.6,7.1,5.7,5.2,7.7,6.0,7.8,7.6,5.8,6.2,5.6,6.1,7.0,7.2,7.2,7.3,6.0,7.1,5.5,6.0,7.3,8.0,5.8,6.6,7.3,7.2,4.7,5.7,7.9,6.9,6.0,7.4,6.9,6.6,5.2,M,0.0,2NT,2.0,4.75,6.5,A,6.610000000000001,6.5200000000000005,6.470000000000001,K,K,TB,2.6440000000000006,2.608,2.588,0.0
88,7.3,4.3,5.3,5.8,4.9,3.7,5.6,5.3,5.9,6.0,6.3,5.9,5.0,6.6,6.6,4.6,7.1,6.3,7.3,6.7,6.5,5.4,6.7,5.5,7.7,5.4,7.5,7.1,6.8,5.8,6.8,6.5,7.9,5.9,5.9,5.9,5.7,6.1,6.8,6.7,6.6,6.4,6.9,5.7,6.4,6.4,7.2,6.2,M,0.0,1,1.75,4.0,4.5,A,5.4399999999999995,5.78,6.51,TB,TB,K,2.1759999999999997,2.3120000000000003,2.604,0.0
89,5.2,6.0,4.7,6.2,3.9,6.6,4.9,3.7,6.5,6.3,6.8,6.9,5.8,7.9,7.0,6.3,7.4,5.3,5.6,6.9,5.0,6.2,6.5,5.2,7.4,6.0,6.2,4.5,5.9,7.2,7.0,6.1,5.4,4.3,4.8,4.3,5.2,6.4,6.3,5.6,6.6,8.0,6.8,3.6,5.0,6.2,6.0,6.2,M,0.0,1,3.75,4.0,3.5,A,5.029999999999999,6.58,6.050000000000001,TB,K,TB,2.0119999999999996,2.632,2.4200000000000004,0.0
90,5.7,4.6,5.9,5.7,4.7,4.3,4.4,5.5,5.6,4.7,5.4,5.7,5.1,5.9,5.6,4.5,4.7,4.5,6.0,5.6,5.1,5.7,5.9,4.3,5.1,4.4,6.0,6.1,5.3,7.1,5.0,5.6,5.6,5.2,6.0,5.2,5.7,4.3,4.9,4.3,7.2,6.5,6.3,5.7,4.6,5.4,4.7,4.7,M,0.0,1,2.0,5.5,5.5,A,5.119999999999999,5.319999999999999,5.16,TB,TB,TB,2.0479999999999996,2.1279999999999997,2.064,0.0
91,8.1,7.7,9.1,8.5,6.1,8.6,8.8,7.3,8.8,8.3,8.4,9.3,7.1,8.9,8.8,7.2,9.2,8.4,8.2,9.0,6.3,8.4,8.8,7.1,8.8,9.1,7.7,9.1,7.0,7.9,7.3,7.5,8.9,7.2,7.4,7.8,6.6,7.6,8.1,7.6,8.5,9.2,7.5,8.6,7.9,8.3,8.7,7.8,M,0.0,2,6.25,4.0,6.5,A,7.840000000000001,8.270000000000001,8.09,K,G,G,3.136,3.3080000000000007,3.2359999999999998,1.0
92,7.8,6.5,6.7,5.4,6.2,4.8,5.9,4.4,8.9,6.9,6.2,7.5,6.2,4.4,6.4,4.7,8.5,8.0,5.2,6.7,5.6,6.0,6.9,6.7,7.8,7.4,5.0,6.4,6.4,6.1,6.6,5.9,8.6,7.6,6.5,6.6,5.1,6.4,6.4,5.5,9.4,8.2,7.1,8.2,6.3,7.2,7.4,7.0,M,0.0,2NT,4.75,4.75,4.5,A,6.17,6.63,6.769999999999999,TB,K,K,2.468,2.652,2.7079999999999993,0.0
93,5.0,6.6,6.5,7.2,5.8,6.7,6.4,6.0,6.8,6.1,6.5,8.6,5.9,4.9,6.3,7.5,7.2,6.8,5.8,6.2,5.7,7.2,6.6,6.4,6.1,5.8,5.7,7.9,5.7,5.9,5.3,7.3,8.0,7.1,6.9,6.9,6.7,5.6,5.4,5.6,7.5,6.3,6.7,6.8,7.2,5.9,6.7,5.8,M,0.0,1,3.25,5.25,4.25,A,6.1,6.5299999999999985,6.480000000000001,TB,K,TB,2.44,2.611999999999999,2.5920000000000005,0.0
94,5.2,5.2,6.8,7.9,6.6,8.9,7.6,5.3,6.8,5.8,5.8,8.9,7.0,8.8,8.6,5.7,6.7,6.0,5.5,7.3,6.9,9.1,8.6,5.1,6.6,6.7,7.9,7.7,6.9,8.7,7.6,6.7,7.3,5.4,5.7,6.8,6.3,7.4,7.5,5.4,7.3,6.5,6.7,5.8,7.3,8.7,7.8,5.0,M,0.0,1,3.5,4.25,5.0,A,6.529999999999999,7.12,6.88,K,K,K,2.6119999999999997,2.848,2.752,0.0
95,5.8,5.9,7.6,6.1,5.3,8.1,6.1,5.0,6.4,7.2,7.7,7.5,5.3,8.4,6.8,6.1,7.3,7.0,7.9,7.3,5.7,8.6,6.8,5.1,7.1,7.3,8.4,7.3,5.7,8.7,7.0,5.6,7.3,6.8,6.5,8.0,5.9,5.3,7.4,6.5,6.7,8.1,7.1,6.8,6.0,7.3,6.8,5.3,M,0.0,1,4.25,2.5,4.75,A,6.1000000000000005,6.709999999999999,6.869999999999999,TB,K,K,2.4400000000000004,2.6839999999999997,2.7479999999999998,0.0
96,8.6,6.9,7.4,8.8,7.6,5.8,7.3,5.7,8.9,6.8,6.5,7.3,7.0,7.3,6.9,7.6,7.7,5.6,5.9,7.7,6.8,8.1,6.6,7.5,6.7,6.8,6.0,8.3,7.5,7.1,6.8,7.8,7.9,6.7,7.2,6.1,7.2,5.3,5.2,5.2,6.6,6.9,7.4,7.0,7.6,6.3,6.1,6.2,F,0.0,1,5.25,1.5,6.25,C,7.43,7.419999999999999,7.040000000000001,K,K,K,2.972,2.9679999999999995,2.8160000000000003,0.0
97,3.7,5.4,6.0,5.1,5.5,3.9,6.1,4.4,4.1,4.8,5.1,4.7,5.9,6.9,4.6,5.4,3.1,3.1,5.3,5.8,5.6,5.4,6.6,4.2,3.4,4.9,5.9,6.9,5.6,6.4,5.7,4.3,5.5,4.7,4.6,3.4,6.9,7.6,7.4,4.9,5.7,7.7,5.0,7.0,6.5,7.9,7.5,4.4,F,0.0,1,5.25,3.75,4.75,C,4.93,5.15,4.78,Y,TB,Y,1.972,2.06,1.9120000000000001,0.0
98,8.8,5.5,7.4,7.7,6.2,7.3,8.1,4.5,9.5,7.3,6.0,8.4,7.0,8.4,8.8,6.5,9.5,6.6,6.4,7.6,7.0,9.6,9.3,6.7,8.5,6.9,5.8,8.4,8.0,8.9,9.6,7.1,9.0,7.1,6.7,5.7,6.9,8.6,8.6,5.9,8.5,7.1,6.2,8.6,7.0,9.6,8.4,5.8,M,0.0,2NT,7.0,8.0,4.0,C,7.05,7.839999999999999,7.92,K,K,K,2.82,3.1359999999999997,3.168,1.0
99,2.7,1.8,3.4,5.3,4.5,7.9,4.9,3.8,2.8,5.7,5.1,5.0,5.5,6.6,3.9,4.3,6.2,6.9,7.6,6.3,4.7,7.4,5.9,5.7,5.2,5.1,6.8,5.6,3.8,5.9,6.7,4.4,4.1,5.3,5.7,4.6,5.0,5.9,5.3,4.5,4.3,5.6,6.3,4.7,5.0,6.6,5.2,5.9,M,0.0,1,5.0,3.5,5.5,C,4.1499999999999995,4.72,6.159999999999999,Y,Y,TB,1.6599999999999997,1.888,2.4639999999999995,0.0
100,4.1,5.2,4.9,5.3,5.5,5.4,7.2,5.4,4.4,6.4,4.8,7.2,6.0,6.3,6.8,4.9,6.0,4.9,4.2,6.4,5.7,6.8,7.1,6.2,4.3,4.9,5.3,6.5,5.7,6.8,7.4,5.8,5.6,6.2,6.0,4.7,5.7,7.9,6.9,4.7,5.1,6.4,5.9,5.4,6.3,5.6,6.6,5.8,M,0.0,2NT,5.25,2.5,4.25,C,5.26,5.72,5.9,TB,TB,TB,2.104,2.288,2.3600000000000003,0.0
